0b2 0 0 0  0 0 0 -0.044576558
b02 0 0 0  0 0 0 -1.8453902e-05
bba 0 0 0  0 0 0 -0.10269387
02b 0 0 0  0 0 0 -8.941975e-06
bab 0 0 0  0 0 0 -0.097896109
b20 0 0 0  0 0 0 1.9313512e-05
abb 0 0 0  0 0 0 0.0047977591
20b 0 0 0  0 0 0 0.00018300975
2b0 0 0 0  0 0 0 -0.93137199
000 a 0 0  0 b b -0.034743552
000 a b b  0 0 0 0.00740786
00b 2 0 0  0 0 0 9.0270422e-06
0b0 2 0 0  0 0 0 -0.030516344
b00 2 0 0  0 0 0 1.9220306e-05
000 0 a 0  b 0 b -0.017366237
000 b a b  0 0 0 0.0037026681
00b 0 2 0  0 0 0 0.0060615298
0b0 0 2 0  0 0 0 -0.041728324
b00 0 2 0  0 0 0 -0.084853783
000 0 0 a  b b 0 0.017378089
000 b b a  0 0 0 -0.0037051919
00b 0 0 2  0 0 0 -0.0060481794
0b0 0 0 2  0 0 0 -0.041725773
b00 0 0 2  0 0 0 0.084834454
000 0 0 b  a b 0 -0.0024711647
000 0 b 0  a 0 b 0.0024796249
00b 0 0 0  2 0 0 2.5450796e-05
0b0 0 0 0  2 0 0 -0.159672
b00 0 0 0  2 0 0 -2.5281976e-05
000 0 0 b  b a 0 -0.019849254
000 b 0 0  0 a b -0.017374311
00b 0 0 0  0 2 0 -0.012115628
0b0 0 0 0  0 2 0 -0.13768684
b00 0 0 0  0 2 0 0.11073494
000 0 b 0  b 0 a 0.019845862
000 b 0 0  0 b a 0.017369241
00b 0 0 0  0 0 2 0.012175566
0b0 0 0 0  0 0 2 -0.13769183
b00 0 0 0  0 0 2 -0.11071005
