00a 0 0 0  0 b b 1.3927324e-08
00a 0 b b  0 0 0 -3.6465312e-09
002 b 0 0  0 0 0 0.045061953
0ba b 0 0  0 0 0 -1.0708074e-08
b0a b 0 0  0 0 0 -0.10260271
0a0 0 0 0  0 b b 0.035200567
0a0 0 b b  0 0 0 -0.0074647876
0ab b 0 0  0 0 0 -1.0145563e-08
020 b 0 0  0 0 0 0.030524584
ba0 b 0 0  0 0 0 4.8906966e-08
a0b b 0 0  0 0 0 -0.0040915235
ab0 b 0 0  0 0 0 -2.3585831e-09
200 b 0 0  0 0 0 -0.93058204
b0b a 0 0  0 0 0 -0.098511186
bb0 a 0 0  0 0 0 5.1265239e-08
000 0 a 0  b b 0 -0.017907985
000 b 2 0  0 0 0 -0.042223082
00b 0 a b  0 0 0 0.0060696977
0b0 0 a b  0 0 0 -0.0037323974
b00 0 a b  0 0 0 -0.085022423
000 0 0 a  b 0 b -0.017907986
000 b 0 2  0 0 0 -0.042223083
00b 0 b a  0 0 0 0.0060697013
0b0 0 b a  0 0 0 0.0037323902
b00 0 b a  0 0 0 -0.085022423
000 0 0 b  a 0 b 0.0021215418
000 0 b 0  a b 0 0.0021215435
000 b 0 0  2 0 0 -0.15893241
000 0 b 0  b a 0 0.020029529
000 b 0 0  0 2 0 -0.1375085
00b 0 0 0  0 a b 0.012467576
0b0 0 0 0  0 a b 0.017600277
b00 0 0 0  0 a b -0.11385696
000 0 0 b  b 0 a 0.020029527
000 b 0 0  0 0 2 -0.13750848
00b 0 0 0  0 b a 0.012467562
0b0 0 0 0  0 b a -0.017600289
b00 0 0 0  0 b a -0.11385696
