a0a b 0 0  0 0 0 -0.098511186
aa0 b 0 0  0 0 0 5.1265248e-08
00b 0 0 0  0 a a 1.3927627e-08
0b0 0 0 0  0 a a 0.035200567
00b 0 a a  0 0 0 -3.6462808e-09
0b0 0 a a  0 0 0 -0.0074647876
002 a 0 0  0 0 0 0.045061953
0ba a 0 0  0 0 0 -1.014547e-08
b0a a 0 0  0 0 0 -0.0040915235
0ab a 0 0  0 0 0 -1.0707819e-08
020 a 0 0  0 0 0 0.030524584
ba0 a 0 0  0 0 0 -2.358492e-09
a0b a 0 0  0 0 0 -0.10260271
ab0 a 0 0  0 0 0 4.8906769e-08
200 a 0 0  0 0 0 -0.93058204
000 0 0 b  a 0 a -0.017907986
000 a 0 2  0 0 0 -0.042223083
00a 0 a b  0 0 0 0.0060697013
0a0 0 a b  0 0 0 0.0037323902
a00 0 a b  0 0 0 -0.085022423
000 0 b 0  a a 0 -0.017907985
000 a 2 0  0 0 0 -0.042223082
00a 0 b a  0 0 0 0.0060696977
0a0 0 b a  0 0 0 -0.0037323974
a00 0 b a  0 0 0 -0.085022423
000 0 0 a  b 0 a 0.0021215418
000 0 a 0  b a 0 0.0021215435
000 a 0 0  2 0 0 -0.15893241
000 0 0 a  a 0 b 0.020029527
000 a 0 0  0 0 2 -0.13750848
00a 0 0 0  0 a b 0.012467562
0a0 0 0 0  0 a b -0.017600289
a00 0 0 0  0 a b -0.11385696
000 0 a 0  a b 0 0.020029529
000 a 0 0  0 2 0 -0.1375085
00a 0 0 0  0 b a 0.012467576
0a0 0 0 0  0 b a 0.017600277
a00 0 0 0  0 b a -0.11385696
