0aa 0 0 b  0 0 0 -0.0004190128
a0a 0 0 b  0 0 0 0.049256081
aa0 0 0 b  0 0 0 0.085313965
000 0 b 0  0 a a 0.017908627
000 0 2 a  0 0 0 0.042223968
00a a b 0  0 0 0 -0.00042866275
0a0 a b 0  0 0 0 -0.0074843615
a00 a b 0  0 0 0 -0.084992399
000 b 0 0  a 0 a 0.017907778
000 2 0 a  0 0 0 0.042222024
00a b a 0  0 0 0 -0.0068934711
0a0 b a 0  0 0 0 -0.0037519021
a00 b a 0  0 0 0 -0.084960204
00b 0 0 0  a a 0 0.030486997
0b0 0 0 0  a a 0 -0.017600479
b00 0 0 0  a a 0 -0.00015157648
00b a a 0  0 0 0 -0.0064648084
0b0 a a 0  0 0 0 0.0037324594
b00 a a 0  0 0 0 3.2194598e-05
002 0 0 a  0 0 0 0.034502932
0ba 0 0 a  0 0 0 0.0069258658
b0a 0 0 a  0 0 0 -0.005093926
0ab 0 0 a  0 0 0 0.006506853
020 0 0 a  0 0 0 0.041800537
ba0 0 0 a  0 0 0 -0.00064263647
a0b 0 0 a  0 0 0 0.044162155
ab0 0 0 a  0 0 0 0.084671329
200 0 0 a  0 0 0 -0.93129633
000 0 0 a  0 0 2 -0.15893007
000 0 a 0  0 a b 0.0021209183
000 a 0 0  a 0 b 0.0021223327
000 0 0 a  0 2 0 -0.13750945
000 0 a 0  0 b a 0.020029545
00a 0 0 0  a b 0 -0.022315599
0a0 0 0 0  a b 0 -0.0024825758
a00 0 0 0  a b 0 -0.11368924
000 0 0 a  2 0 0 -0.13750811
000 a 0 0  b 0 a 0.020030111
00a 0 0 0  b a 0 0.0081713977
0a0 0 0 0  b a 0 -0.020083055
a00 0 0 0  b a 0 -0.11384081
