0aa b 0 0  0 0 0 -1.6278016e-08
a0a b 0 0  0 0 0 -0.57735027
aa0 b 0 0  0 0 0 3.9613311e-06
00b 0 0 0  0 a a -2.2701973e-09
b00 0 0 0  0 a a 2.331714e-08
00b 0 a a  0 0 0 -3.7963656e-08
b00 0 a a  0 0 0 -7.0970335e-06
0ba a 0 0  0 0 0 -1.6277633e-08
b0a a 0 0  0 0 0 -0.57735027
0ab a 0 0  0 0 0 1.6278338e-08
ba0 a 0 0  0 0 0 3.9613299e-06
a0b a 0 0  0 0 0 0.57735027
ab0 a 0 0  0 0 0 -3.9613313e-06
000 0 0 b  a 0 a -2.1126979e-09
00a 0 a b  0 0 0 -3.7981413e-08
a00 0 a b  0 0 0 -7.0970356e-06
000 0 b 0  a a 0 2.0898479e-09
00a 0 b a  0 0 0 3.7939646e-08
a00 0 b a  0 0 0 7.0970248e-06
000 0 0 a  b 0 a 2.0991219e-09
000 0 a 0  b a 0 -2.1020144e-09
000 0 0 a  a 0 b -2.0957746e-09
00a 0 0 0  0 a b -2.3206122e-09
a00 0 0 0  0 a b 2.3276313e-08
000 0 a 0  a b 0 2.114148e-09
00a 0 0 0  0 b a 2.2202389e-09
a00 0 0 0  0 b a -2.3345585e-08
