00a 0 0 0  b 0 b -2.912329e-07
00a b 0 b  0 0 0 2.3642306e-06
0ba 0 b 0  0 0 0 -0.0024566296
b0a 0 b 0  0 0 0 -0.2884955
0a0 0 0 0  b 0 b 5.9548361e-07
0a0 b 0 b  0 0 0 -3.9138846e-07
0ab 0 b 0  0 0 0 0.0024566297
ba0 0 b 0  0 0 0 0.50009745
a00 0 0 0  b 0 b 1.0541891e-05
a00 b 0 b  0 0 0 0.00043524632
a0b 0 b 0  0 0 0 0.2884955
ab0 0 b 0  0 0 0 -0.50009745
000 a 0 0  b b 0 -9.4085002e-07
00b a 0 b  0 0 0 -2.3642419e-06
0b0 a 0 b  0 0 0 3.9136953e-07
b00 a 0 b  0 0 0 -0.00043524632
0bb 0 a 0  0 0 0 0.0024566297
b0b 0 a 0  0 0 0 0.2884955
bb0 0 a 0  0 0 0 -0.50009745
000 0 0 a  0 b b -9.3951726e-07
00b b 0 a  0 0 0 2.3642321e-06
0b0 b 0 a  0 0 0 -3.914033e-07
b00 b 0 a  0 0 0 0.00043524631
000 b 0 0  a b 0 9.4084631e-07
00b 0 0 0  a 0 b 2.9123573e-07
0b0 0 0 0  a 0 b -5.9549429e-07
b00 0 0 0  a 0 b -1.0541931e-05
000 0 0 b  0 a b 9.3950584e-07
000 b 0 0  b a 0 -9.4085441e-07
000 0 0 b  0 b a -9.3951172e-07
00b 0 0 0  b 0 a -2.9127983e-07
0b0 0 0 0  b 0 a 5.9545708e-07
b00 0 0 0  b 0 a 1.0541879e-05
