00a 0 0 0  b b 0 -2.9254743e-07
00a b b 0  0 0 0 2.3975377e-06
0ba 0 0 b  0 0 0 0.0024566404
b0a 0 0 b  0 0 0 -0.28849281
0a0 0 0 0  b b 0 -5.9754141e-07
0a0 b b 0  0 0 0 3.886975e-07
0ab 0 0 b  0 0 0 -0.0024566404
ba0 0 0 b  0 0 0 -0.50009899
a00 0 0 0  b b 0 1.0518396e-05
a00 b b 0  0 0 0 0.00044234304
a0b 0 0 b  0 0 0 0.28849281
ab0 0 0 b  0 0 0 0.50009899
000 a 0 0  b 0 b -9.3877475e-07
00b a b 0  0 0 0 -2.3975371e-06
0b0 a b 0  0 0 0 -3.8869855e-07
b00 a b 0  0 0 0 -0.00044234304
000 0 a 0  0 b b 9.374165e-07
00b b a 0  0 0 0 2.3975378e-06
0b0 b a 0  0 0 0 3.8869677e-07
b00 b a 0  0 0 0 0.00044234304
0bb 0 0 a  0 0 0 -0.0024566404
b0b 0 0 a  0 0 0 0.28849281
bb0 0 0 a  0 0 0 0.50009899
000 b 0 0  a 0 b 9.3877531e-07
00b 0 0 0  a b 0 2.9254759e-07
0b0 0 0 0  a b 0 5.9753972e-07
b00 0 0 0  a b 0 -1.0518398e-05
000 0 b 0  0 a b -9.3741857e-07
00b 0 0 0  b a 0 -2.9254789e-07
0b0 0 0 0  b a 0 -5.9754285e-07
b00 0 0 0  b a 0 1.0518398e-05
000 0 b 0  0 b a 9.3741703e-07
000 b 0 0  b 0 a -9.3877411e-07
