0b2 0 0 0  0 0 0 8.7507091e-06
b02 0 0 0  0 0 0 -0.093322555
bba 0 0 0  0 0 0 2.0309387e-05
02b 0 0 0  0 0 0 -0.045559354
bab 0 0 0  0 0 0 1.9375336e-05
b20 0 0 0  0 0 0 0.097675985
abb 0 0 0  0 0 0 -9.3405037e-07
20b 0 0 0  0 0 0 0.93234257
2b0 0 0 0  0 0 0 0.00018281712
000 a 0 0  0 b b 6.8344759e-06
000 a b b  0 0 0 -1.4585596e-06
00b 2 0 0  0 0 0 0.045944351
0b0 2 0 0  0 0 0 5.9802796e-06
b00 2 0 0  0 0 0 0.097712487
000 0 a 0  b 0 b 0.030095574
000 b a b  0 0 0 -0.006416408
00b 0 2 0  0 0 0 0.034014254
0b0 0 2 0  0 0 0 -0.0064635172
b00 0 2 0  0 0 0 -0.049120086
000 0 0 a  b b 0 0.030088745
000 b b a  0 0 0 -0.0064149494
00b 0 0 2  0 0 0 0.034016646
0b0 0 0 2  0 0 0 0.0064799027
b00 0 0 2  0 0 0 -0.049153494
000 0 0 b  a b 0 0.021490636
000 0 b 0  a 0 b 0.021489654
00b 0 0 0  2 0 0 0.1297326
0b0 0 0 0  2 0 0 3.1356746e-05
b00 0 0 0  2 0 0 -0.12843234
000 0 0 b  b a 0 -0.0085981095
000 b 0 0  0 a b -0.012885009
00b 0 0 0  0 2 0 0.15265643
0b0 0 0 0  0 2 0 0.01271734
b00 0 0 0  0 2 0 0.063126285
000 0 b 0  b 0 a -0.0086059194
000 b 0 0  0 b a -0.012891843
00b 0 0 0  0 0 2 0.15265161
0b0 0 0 0  0 0 2 -0.012663295
b00 0 0 0  0 0 2 0.063169833
