0a2 0 0 0  0 0 0 8.7519563e-06
02a 0 0 0  0 0 0 -0.045559354
baa 0 0 0  0 0 0 -9.341764e-07
a02 0 0 0  0 0 0 -0.093322555
aba 0 0 0  0 0 0 1.9378074e-05
20a 0 0 0  0 0 0 0.93234257
aab 0 0 0  0 0 0 2.031225e-05
a20 0 0 0  0 0 0 0.097675985
2a0 0 0 0  0 0 0 0.00018284318
000 b 0 0  0 a a 6.8354481e-06
000 b a a  0 0 0 -1.4587668e-06
00a 2 0 0  0 0 0 0.045944351
0a0 2 0 0  0 0 0 5.9811339e-06
a00 2 0 0  0 0 0 0.097712487
000 0 b 0  a 0 a 0.030095574
000 a b a  0 0 0 -0.0064164081
00a 0 2 0  0 0 0 0.034014254
0a0 0 2 0  0 0 0 -0.006463516
a00 0 2 0  0 0 0 -0.049120084
000 0 0 b  a a 0 0.030088745
000 a a b  0 0 0 -0.0064149493
00a 0 0 2  0 0 0 0.034016646
0a0 0 0 2  0 0 0 0.0064799038
a00 0 0 2  0 0 0 -0.049153497
000 0 0 a  b a 0 0.021490636
000 0 a 0  b 0 a 0.021489654
00a 0 0 0  2 0 0 0.1297326
0a0 0 0 0  2 0 0 3.1361208e-05
a00 0 0 0  2 0 0 -0.12843234
000 0 0 a  a b 0 -0.008598109
000 a 0 0  0 b a -0.012885008
00a 0 0 0  0 2 0 0.15265643
0a0 0 0 0  0 2 0 0.012717343
a00 0 0 0  0 2 0 0.063126282
000 0 a 0  a 0 b -0.0086059199
000 a 0 0  0 a b -0.012891844
00a 0 0 0  0 0 2 0.15265161
0a0 0 0 0  0 0 2 -0.012663291
a00 0 0 0  0 0 2 0.063169836
