00a 0 0 0  0 b b -0.058086064
00a 0 b b  0 0 0 -0.05965998
002 b 0 0  0 0 0 2.8630056e-07
0ba b 0 0  0 0 0 -0.063173987
b0a b 0 0  0 0 0 1.9664454e-05
0a0 0 0 0  0 b b 2.325063e-06
0a0 0 b b  0 0 0 -3.3003171e-08
0ab b 0 0  0 0 0 -0.03160094
020 b 0 0  0 0 0 3.8459753e-06
ba0 b 0 0  0 0 0 -0.16335204
a00 0 0 0  0 b b 0.0011826101
a00 0 b b  0 0 0 0.67216483
a0b b 0 0  0 0 0 4.1374399e-05
ab0 b 0 0  0 0 0 -0.3321199
200 b 0 0  0 0 0 -3.3477716e-09
0bb a 0 0  0 0 0 -0.031573046
b0b a 0 0  0 0 0 -2.1709945e-05
bb0 a 0 0  0 0 0 0.16876786
000 0 a 0  b b 0 -0.034552517
000 b 2 0  0 0 0 -0.027849282
00b 0 a b  0 0 0 -0.02982656
0b0 0 a b  0 0 0 0.028095682
b00 0 a b  0 0 0 0.33608176
000 0 0 a  b 0 b 0.034557431
000 b 0 2  0 0 0 0.027853155
00b 0 b a  0 0 0 0.02983342
0b0 0 b a  0 0 0 0.028095715
b00 0 b a  0 0 0 -0.33608307
000 0 0 b  a 0 b -0.14651815
000 0 b 0  a b 0 0.1465208
000 b 0 0  2 0 0 1.1328826e-05
000 0 b 0  b a 0 0.18107332
000 b 0 0  0 2 0 -0.079653024
00b 0 0 0  0 a b -0.029032712
0b0 0 0 0  0 a b -0.082810738
b00 0 0 0  0 a b 0.00059164548
000 0 0 b  b 0 a -0.18107558
000 b 0 0  0 0 2 0.079641778
00b 0 0 0  0 b a 0.029053351
0b0 0 0 0  0 b a -0.082813063
b00 0 0 0  0 b a -0.00059096457
