0aa b 0 0  0 0 0 -0.031573046
a0a b 0 0  0 0 0 -2.1712938e-05
aa0 b 0 0  0 0 0 0.16876786
00b 0 0 0  0 a a -0.058086064
0b0 0 0 0  0 a a 2.3253582e-06
b00 0 0 0  0 a a 0.0011826101
00b 0 a a  0 0 0 -0.05965998
0b0 0 a a  0 0 0 -3.3024303e-08
b00 0 a a  0 0 0 0.67216483
002 a 0 0  0 0 0 2.863566e-07
0ba a 0 0  0 0 0 -0.03160094
b0a a 0 0  0 0 0 4.1379945e-05
0ab a 0 0  0 0 0 -0.063173987
020 a 0 0  0 0 0 3.8464735e-06
ba0 a 0 0  0 0 0 -0.3321199
a0b a 0 0  0 0 0 1.9667007e-05
ab0 a 0 0  0 0 0 -0.16335204
200 a 0 0  0 0 0 -3.3270437e-09
000 0 0 b  a 0 a 0.034557432
000 a 0 2  0 0 0 0.027853155
00a 0 a b  0 0 0 0.02983342
0a0 0 a b  0 0 0 0.028095715
a00 0 a b  0 0 0 -0.33608307
000 0 b 0  a a 0 -0.034552517
000 a 2 0  0 0 0 -0.027849282
00a 0 b a  0 0 0 -0.02982656
0a0 0 b a  0 0 0 0.028095682
a00 0 b a  0 0 0 0.33608176
000 0 0 a  b 0 a -0.14651815
000 0 a 0  b a 0 0.1465208
000 a 0 0  2 0 0 1.133033e-05
000 0 0 a  a 0 b -0.18107558
000 a 0 0  0 0 2 0.079641777
00a 0 0 0  0 a b 0.029053353
0a0 0 0 0  0 a b -0.082813063
a00 0 0 0  0 a b -0.00059096449
000 0 a 0  a b 0 0.18107332
000 a 0 0  0 2 0 -0.079653025
00a 0 0 0  0 b a -0.029032711
0a0 0 0 0  0 b a -0.082810738
a00 0 0 0  0 b a 0.00059164556
