00a 0 0 0  b 0 b -0.00012228554
00a b 0 b  0 0 0 -0.002477581
0ba 0 b 0  0 0 0 0.00069092559
b0a 0 b 0  0 0 0 -0.22204747
0a0 0 0 0  b 0 b 0.00018665924
0a0 b 0 b  0 0 0 -0.00011139688
0ab 0 b 0  0 0 0 -0.0006909256
ba0 0 b 0  0 0 0 -0.12764064
a00 0 0 0  b 0 b -0.0027726335
a00 b 0 b  0 0 0 -0.51741829
a0b 0 b 0  0 0 0 0.22204747
ab0 0 b 0  0 0 0 0.12764064
000 a 0 0  b b 0 0.0001943971
00b a 0 b  0 0 0 0.002477581
0b0 a 0 b  0 0 0 0.00011139687
b00 a 0 b  0 0 0 0.51741829
0bb 0 a 0  0 0 0 -0.00069092558
b0b 0 a 0  0 0 0 0.22204747
bb0 0 a 0  0 0 0 0.12764064
000 0 0 a  0 b b 0.00019283993
00b b 0 a  0 0 0 -0.002477581
0b0 b 0 a  0 0 0 -0.00011139687
b00 b 0 a  0 0 0 -0.51741829
000 b 0 0  a b 0 -0.0001943971
00b 0 0 0  a 0 b 0.00012228553
0b0 0 0 0  a 0 b -0.00018665924
b00 0 0 0  a 0 b 0.0027726335
000 0 0 b  0 a b -0.00019283994
000 b 0 0  b a 0 0.00019439711
000 0 0 b  0 b a 0.00019283992
00b 0 0 0  b 0 a -0.00012228557
0b0 0 0 0  b 0 a 0.00018665924
b00 0 0 0  b 0 a -0.0027726335
