00a 0 0 0  b b 0 -0.00012227996
00a b b 0  0 0 0 -0.0024775781
0ba 0 0 b  0 0 0 -0.00069089436
b0a 0 0 b  0 0 0 -0.22205156
0a0 0 0 0  b b 0 -0.00018665013
0a0 b b 0  0 0 0 0.00011140387
0ab 0 0 b  0 0 0 0.00069089436
ba0 0 0 b  0 0 0 0.12763407
a00 0 0 0  b b 0 -0.0027725169
a00 b b 0  0 0 0 -0.51741815
a0b 0 0 b  0 0 0 0.22205156
ab0 0 0 b  0 0 0 -0.12763407
000 a 0 0  b 0 b 0.00019438789
00b a b 0  0 0 0 0.0024775781
0b0 a b 0  0 0 0 -0.00011140386
b00 a b 0  0 0 0 0.51741815
000 0 a 0  0 b b -0.00019283064
00b b a 0  0 0 0 -0.0024775781
0b0 b a 0  0 0 0 0.00011140386
b00 b a 0  0 0 0 -0.51741815
0bb 0 0 a  0 0 0 0.00069089436
b0b 0 0 a  0 0 0 0.22205156
bb0 0 0 a  0 0 0 -0.12763407
000 b 0 0  a 0 b -0.00019438788
00b 0 0 0  a b 0 0.00012227996
0b0 0 0 0  a b 0 0.00018665014
b00 0 0 0  a b 0 0.0027725169
000 0 b 0  0 a b 0.00019283063
00b 0 0 0  b a 0 -0.00012227997
0b0 0 0 0  b a 0 -0.00018665013
b00 0 0 0  b a 0 -0.0027725169
000 0 b 0  0 b a -0.00019283064
000 b 0 0  b 0 a 0.0001943879
