0a2 0 0 0  0 0 0 -0.0055389547
02a 0 0 0  0 0 0 -1.3734159e-08
baa 0 0 0  0 0 0 -0.75112096
a02 0 0 0  0 0 0 9.145099e-08
aba 0 0 0  0 0 0 -0.37555587
20a 0 0 0  0 0 0 4.0740586e-08
aab 0 0 0  0 0 0 0.37556509
a20 0 0 0  0 0 0 -9.1325176e-08
2a0 0 0 0  0 0 0 -0.005542145
000 b 0 0  0 a a -0.042915114
000 b a a  0 0 0 -1.5422129e-06
00a 2 0 0  0 0 0 -2.5016347e-08
0a0 2 0 0  0 0 0 -0.070356312
a00 2 0 0  0 0 0 -4.698569e-08
000 0 b 0  a 0 a 0.042914029
000 a b a  0 0 0 -7.6719741e-07
00a 0 2 0  0 0 0 0.060934593
0a0 0 2 0  0 0 0 0.035178594
a00 0 2 0  0 0 0 -0.00028977976
000 0 0 b  a a 0 -0.042914028
000 a a b  0 0 0 7.7501548e-07
00a 0 0 2  0 0 0 -0.060934558
0a0 0 0 2  0 0 0 0.035178666
a00 0 0 2  0 0 0 0.00028982671
000 0 0 a  b a 0 -0.021455303
000 0 a 0  b 0 a 0.021455295
00a 0 0 0  2 0 0 1.3755223e-07
0a0 0 0 0  2 0 0 0.2086037
a00 0 0 0  2 0 0 -3.7691172e-08
000 0 0 a  a b 0 0.021458725
000 a 0 0  0 b a -0.021457549
00a 0 0 0  0 2 0 -0.1806261
0a0 0 0 0  0 2 0 -0.1043006
a00 0 0 0  0 2 0 0.00089384746
000 0 a 0  a 0 b -0.021458735
000 a 0 0  0 a b 0.021457566
00a 0 0 0  0 0 2 0.18062593
0a0 0 0 0  0 0 2 -0.1043007
a00 0 0 0  0 0 2 -0.0008938096
