00a 0 0 0  b 0 b 0.03592073
00a b 0 b  0 0 0 -0.0010636187
002 0 b 0  0 0 0 0.048977671
0ba 0 b 0  0 0 0 0.032637686
b0a 0 b 0  0 0 0 -0.17872565
0a0 0 0 0  b 0 b 0.020505684
0a0 b 0 b  0 0 0 -0.00087298627
0ab 0 b 0  0 0 0 0.030854962
020 0 b 0  0 0 0 0.017384177
ba0 0 b 0  0 0 0 0.3079014
a00 0 0 0  b 0 b -0.00017496041
a00 b 0 b  0 0 0 0.002338487
a0b 0 b 0  0 0 0 -0.37612259
ab0 0 b 0  0 0 0 0.64863108
200 0 b 0  0 0 0 0.0079914806
000 a 0 0  b b 0 -0.044274123
000 2 b 0  0 0 0 -0.034761979
00b a 0 b  0 0 0 -0.031397141
0b0 a 0 b  0 0 0 0.053118465
b00 a 0 b  0 0 0 -0.0099814421
0bb 0 a 0  0 0 0 0.0017827243
b0b 0 a 0  0 0 0 0.19739694
bb0 0 a 0  0 0 0 -0.34072968
000 0 0 a  0 b b 0.044512321
000 0 b 2  0 0 0 0.03495683
00b b 0 a  0 0 0 -0.030333523
0b0 b 0 a  0 0 0 0.053991451
b00 b 0 a  0 0 0 -0.012319929
000 0 b 0  2 0 0 -0.1015618
000 b 0 0  a b 0 -0.020004036
00b 0 0 0  a 0 b -0.075795005
0b0 0 0 0  a 0 b 0.17213893
b00 0 0 0  a 0 b 0.0074909101
000 0 0 b  0 a b 0.023250589
000 0 b 0  0 2 0 0.20437674
000 b 0 0  b a 0 0.024270087
000 0 0 b  0 b a -0.021261732
000 0 b 0  0 0 2 -0.10099823
00b 0 0 0  b 0 a -0.11171573
0b0 0 0 0  b 0 a 0.15163325
b00 0 0 0  b 0 a 0.0076658705
