0aa 0 b 0  0 0 0 -0.0017827244
a0a 0 b 0  0 0 0 -0.19739694
aa0 0 b 0  0 0 0 0.34072968
000 0 0 b  0 a a -0.044512321
000 0 a 2  0 0 0 -0.03495683
00a a 0 b  0 0 0 0.030333523
0a0 a 0 b  0 0 0 -0.053991451
a00 a 0 b  0 0 0 0.012319929
00b 0 0 0  a 0 a -0.03592073
0b0 0 0 0  a 0 a -0.020505684
b00 0 0 0  a 0 a 0.00017496041
00b a 0 a  0 0 0 0.0010636187
0b0 a 0 a  0 0 0 0.0008729863
b00 a 0 a  0 0 0 -0.0023384873
002 0 a 0  0 0 0 -0.048977671
0ba 0 a 0  0 0 0 -0.030854962
b0a 0 a 0  0 0 0 0.37612259
0ab 0 a 0  0 0 0 -0.032637686
020 0 a 0  0 0 0 -0.017384177
ba0 0 a 0  0 0 0 -0.64863108
a0b 0 a 0  0 0 0 0.17872565
ab0 0 a 0  0 0 0 -0.3079014
200 0 a 0  0 0 0 -0.0079914806
000 b 0 0  a a 0 0.044274123
000 2 a 0  0 0 0 0.034761979
00a b 0 a  0 0 0 0.031397141
0a0 b 0 a  0 0 0 -0.053118465
a00 b 0 a  0 0 0 0.009981442
000 0 0 a  0 b a -0.023250589
000 0 a 0  0 2 0 -0.20437674
000 a 0 0  a b 0 -0.024270087
000 0 0 a  0 a b 0.021261733
000 0 a 0  0 0 2 0.10099823
00a 0 0 0  a 0 b 0.11171573
0a0 0 0 0  a 0 b -0.15163325
a00 0 0 0  a 0 b -0.0076658706
000 0 a 0  2 0 0 0.1015618
000 a 0 0  b a 0 0.020004036
00a 0 0 0  b 0 a 0.075795005
0a0 0 0 0  b 0 a -0.17213893
a00 0 0 0  b 0 a -0.0074909102
