0aa b 0 0  0 0 0 1.5306162e-08
a0a b 0 0  0 0 0 0.47297953
aa0 b 0 0  0 0 0 -4.2530639e-07
00b 0 0 0  0 a a 2.7284331e-08
0b0 0 0 0  0 a a 0.061728797
00b 0 a a  0 0 0 2.7956746e-08
0b0 0 a a  0 0 0 0.061689885
b00 0 a a  0 0 0 -2.0851257e-08
002 a 0 0  0 0 0 -0.067787613
0ba a 0 0  0 0 0 4.5382153e-08
b0a a 0 0  0 0 0 0.025821706
0ab a 0 0  0 0 0 6.0688346e-08
020 a 0 0  0 0 0 0.05187497
ba0 a 0 0  0 0 0 -3.0640722e-08
a0b a 0 0  0 0 0 0.49880123
ab0 a 0 0  0 0 0 -4.5594758e-07
200 a 0 0  0 0 0 -0.12626586
000 0 0 b  a 0 a -0.028841669
000 a 0 2  0 0 0 0.043214939
00a 0 a b  0 0 0 -0.047916333
0a0 0 a b  0 0 0 -0.030844904
a00 0 a b  0 0 0 0.43099964
000 0 b 0  a a 0 -0.028841668
000 a 2 0  0 0 0 0.04321496
00a 0 b a  0 0 0 -0.047916305
0a0 0 b a  0 0 0 0.030844981
a00 0 b a  0 0 0 0.43099961
000 0 0 a  b 0 a -0.068578983
000 0 a 0  b a 0 -0.068578997
000 a 0 0  2 0 0 0.040234028
000 0 0 a  a 0 b -0.039737314
000 a 0 0  0 0 2 -0.072806802
00a 0 0 0  0 a b -0.056123138
0a0 0 0 0  0 a b -0.030864343
a00 0 0 0  0 a b -0.19946327
000 0 a 0  a b 0 -0.039737329
000 a 0 0  0 2 0 -0.072806894
00a 0 0 0  0 b a -0.05612311
0a0 0 0 0  0 b a 0.030864454
a00 0 0 0  0 b a -0.19946327
