0aa 0 b 0  0 0 0 0.0020153882
a0a 0 b 0  0 0 0 0.23650714
aa0 0 b 0  0 0 0 -0.40958598
000 0 0 b  0 a a 0.028839836
000 0 a 2  0 0 0 -0.043215852
00a a 0 b  0 0 0 -0.0004199699
0a0 a 0 b  0 0 0 0.058745627
a00 a 0 b  0 0 0 -0.43076863
00b 0 0 0  a 0 a -0.05345773
0b0 0 0 0  a 0 a -0.030867598
b00 0 0 0  a 0 a 0.00026134251
00b a 0 a  0 0 0 -0.053425438
0b0 a 0 a  0 0 0 -0.030844491
b00 a 0 a  0 0 0 0.00026833503
002 0 a 0  0 0 0 -0.020026028
0ba 0 a 0  0 0 0 -0.055057604
b0a 0 a 0  0 0 0 0.013752473
0ab 0 a 0  0 0 0 -0.053042216
020 0 a 0  0 0 0 0.039799565
ba0 0 a 0  0 0 0 -0.022356472
a0b 0 a 0  0 0 0 0.25025961
ab0 0 a 0  0 0 0 -0.43194246
200 0 a 0  0 0 0 0.12239494
000 b 0 0  a a 0 -0.028843084
000 2 a 0  0 0 0 0.043215638
00a b 0 a  0 0 0 -0.053845408
0a0 b 0 a  0 0 0 0.027901137
a00 b 0 a  0 0 0 -0.4305003
000 0 0 a  0 b a 0.068575609
000 0 a 0  0 2 0 -0.040231276
000 a 0 0  a b 0 0.06858328
000 0 0 a  0 a b 0.039735773
000 0 a 0  0 0 2 0.072800606
00a 0 0 0  a 0 b 0.00013443443
0a0 0 0 0  a 0 b 0.063187907
a00 0 0 0  a 0 b 0.19973802
000 0 a 0  2 0 0 0.072808618
000 a 0 0  b a 0 0.039740196
00a 0 0 0  b 0 a -0.053323295
0a0 0 0 0  b 0 a 0.032320309
a00 0 0 0  b 0 a 0.19999936
