0aa 0 0 b  0 0 0 0.0020153744
a0a 0 0 b  0 0 0 -0.2365074
aa0 0 0 b  0 0 0 -0.40958586
000 0 b 0  0 a a 0.028839827
000 0 2 a  0 0 0 -0.043215873
00a a b 0  0 0 0 0.00042001007
0a0 a b 0  0 0 0 0.058745616
a00 a b 0  0 0 0 0.4307685
000 b 0 0  a 0 a 0.028843076
000 2 0 a  0 0 0 -0.043215637
00a b a 0  0 0 0 0.053845408
0a0 b a 0  0 0 0 0.027901074
a00 b a 0  0 0 0 0.43050019
00b 0 0 0  a a 0 0.05345772
0b0 0 0 0  a a 0 -0.030867668
b00 0 0 0  a a 0 -0.00026134302
00b a a 0  0 0 0 0.053425398
0b0 a a 0  0 0 0 -0.030844542
b00 a a 0  0 0 0 -0.00026831404
002 0 0 a  0 0 0 0.020025939
0ba 0 0 a  0 0 0 -0.05505768
b0a 0 0 a  0 0 0 -0.013752548
0ab 0 0 a  0 0 0 -0.053042306
020 0 0 a  0 0 0 -0.039799449
ba0 0 0 a  0 0 0 -0.022356586
a0b 0 0 a  0 0 0 -0.25025995
ab0 0 0 a  0 0 0 -0.43194245
200 0 0 a  0 0 0 -0.12239488
000 0 0 a  0 0 2 0.040231323
000 0 a 0  0 a b -0.06857559
000 a 0 0  a 0 b -0.068583247
000 0 0 a  0 2 0 -0.072800675
000 0 a 0  0 b a -0.039735763
00a 0 0 0  a b 0 -0.00013440923
0a0 0 0 0  a b 0 0.063187922
a00 0 0 0  a b 0 -0.19973804
000 0 0 a  2 0 0 -0.072808595
000 a 0 0  b 0 a -0.039740171
00a 0 0 0  b a 0 0.053323311
0a0 0 0 0  b a 0 0.032320254
a00 0 0 0  b a 0 -0.19999939
