00a 0 0 0  b b 0 0.052361099
00a b b 0  0 0 0 0.047987888
0ba 0 0 b  0 0 0 -0.042275037
b0a 0 0 b  0 0 0 0.18220588
0a0 0 0 0  b b 0 0.086509513
0a0 b b 0  0 0 0 0.083971605
0ab 0 0 b  0 0 0 0.042275037
ba0 0 0 b  0 0 0 -0.10540094
a00 0 0 0  b b 0 0.49031659
a00 b b 0  0 0 0 -0.10708658
a0b 0 0 b  0 0 0 -0.18220588
ab0 0 0 b  0 0 0 0.10540094
000 a 0 0  b 0 b -0.088833977
00b a b 0  0 0 0 -0.047987888
0b0 a b 0  0 0 0 -0.083971605
b00 a b 0  0 0 0 0.10708658
000 0 a 0  0 b b 0.088818879
00b b a 0  0 0 0 0.047987888
0b0 b a 0  0 0 0 0.083971605
b00 b a 0  0 0 0 -0.10708658
0bb 0 0 a  0 0 0 0.042275037
b0b 0 0 a  0 0 0 -0.18220588
bb0 0 0 a  0 0 0 0.10540094
000 b 0 0  a 0 b 0.088833977
00b 0 0 0  a b 0 -0.052361099
0b0 0 0 0  a b 0 -0.086509513
b00 0 0 0  a b 0 -0.49031659
000 0 b 0  0 a b -0.088818879
00b 0 0 0  b a 0 0.052361099
0b0 0 0 0  b a 0 0.086509513
b00 0 0 0  b a 0 0.49031659
000 0 b 0  0 b a 0.088818879
000 b 0 0  b 0 a -0.088833977
