00a 0 0 0  0 b b -9.4068179e-07
00a 0 b b  0 0 0 1.2293928e-06
0ba b 0 0  0 0 0 -2.6230685e-06
0a0 0 0 0  0 b b -0.12126072
0a0 0 b b  0 0 0 -0.53941435
0ab b 0 0  0 0 0 2.6230678e-06
ba0 b 0 0  0 0 0 5.6820595e-08
a00 0 0 0  0 b b 1.9411175e-07
a00 0 b b  0 0 0 -4.3349908e-08
ab0 b 0 0  0 0 0 -5.6820048e-08
0bb a 0 0  0 0 0 2.6230679e-06
bb0 a 0 0  0 0 0 -5.6820486e-08
000 0 a 0  b b 0 -0.11760438
00b 0 a b  0 0 0 -1.2293924e-06
0b0 0 a b  0 0 0 0.53941435
b00 0 a b  0 0 0 4.3350478e-08
000 0 0 a  b 0 b -0.11760332
00b 0 b a  0 0 0 1.2293927e-06
0b0 0 b a  0 0 0 -0.53941435
b00 0 b a  0 0 0 -4.3350099e-08
000 0 0 b  a 0 b 0.11760332
000 0 b 0  a b 0 0.11760438
000 0 b 0  b a 0 -0.11760438
00b 0 0 0  0 a b 9.4068168e-07
0b0 0 0 0  0 a b 0.12126072
b00 0 0 0  0 a b -1.941108e-07
000 0 0 b  b 0 a -0.11760332
00b 0 0 0  0 b a -9.4068153e-07
0b0 0 0 0  0 b a -0.12126072
b00 0 0 0  0 b a 1.9411111e-07
